,Symbol
0,RRM1
1,PLEKHJ1
2,AASDH
3,FKBP4
4,KDM5A
5,HSPA2
6,SKIC8
7,ASB8
8,BID
9,TPRA1
10,CNPY3
11,PSMG1
12,CLEC1A
13,ESYT2
14,POLR2G
15,XKR6
16,NDUFA2
17,TUBA1C
18,MAPK9
19,KCNK1
20,EGR1
21,KLHL9
22,USP38
23,PRKAG2
24,SHD
25,PIP4K2B
26,TSGA10
27,RTF1
28,RAB19
29,ZNF276
30,PLEKHA6
31,NFATC2
32,CCDC136
33,SRC
34,ANKRD28
35,ADRB2
36,EIF5
37,SETX
38,IQSEC3
39,CDC42BPB
40,SRA1
41,RAB31
42,MLLT11
43,GTF2B
44,FAM219A
45,MVP
46,EYS
47,ARNT2
48,STX1A
49,PREB
50,SNAPC4
51,RAB21
52,CDIP1
53,BAMBI
54,LGALS8
55,TES
56,SNAPIN
57,BAX
58,GLRX5
59,NT5DC2
60,MRPS2
61,AURKAIP1
62,ANXA7
63,CCNE1
64,FAS
65,LRRC41
66,VAV3
67,STAMBP
68,PAK2
69,TMCC3
70,MRTFA
71,MTF2
72,CCND1
73,SART1
74,ARPP19
75,EXTL2
76,DYRK3
77,PIK3CD
78,ZEB1
79,SENP6
80,CSNK2A2
81,SETD1A
82,USP32
83,NR1H2
84,KNDC1
85,SLC16A14
86,PIK3CB
87,B4GALT1
88,MARK4
89,RPA3
90,LRP12
91,KIF9
92,TATDN2
93,ZNF862
94,IER3
95,PYCR1
96,NDUFAB1
97,PIK3R5
98,SMO
99,CCL2
100,ANAPC10
101,HEBP1
102,ZNF586
103,KLF6
104,RNF11
105,OVOL1
106,DPP8
107,TSPAN3
108,MNX1
109,SPTLC2
110,NPEPL1
111,NTRK3
112,CACNA1E
113,TBC1D9B
114,MCOLN1
115,PSMD4
116,STAR
117,PYGL
118,KNTC1
119,ATP7B
120,FGFR2
121,PIGB
122,CIRBP
123,CDR2L
124,NR2C2AP
125,SLC25A4
126,FCGR2A
127,UBE2L6
128,TDRD7
129,RNF167
130,QRICH1
131,COPZ1
132,TIMM22
133,NRAS
134,MAN2C1
135,TGFBR1
136,PPP2R3C
137,PPIC
138,SPR
139,KIF21A
140,BCL7B
141,RAF1
142,TNKS2
143,SKP1
144,PRKACA
145,IL12B
146,CES4A
147,MAPK1
148,PPT1
149,ARHGEF40
150,ZDHHC6
151,CAPZB
152,TMEM170B
153,TNFRSF13B
154,RAB4A
155,TPGS2
156,TBXA2R
157,RAD51D
158,MAP3K4
159,ZNF202
160,ATP6V1B2
161,VCL
162,CD63
163,MRPS26
164,MBTPS1
165,PEX13
166,HES1
167,NSMCE1
168,INTS3
169,MBNL2
170,AEBP1
171,ARIH2
172,DENND2D
173,CRLS1
174,RRP9
175,VPS35
176,BAD
177,EGFR
178,ADI1
179,DESI1
180,SUPT20H
181,AXL
182,CLK4
183,ZNF451
184,IARS1
185,UBE3B
186,PTPRK
187,KDM3A
188,PCBP2
189,MAPKAPK2
190,CDKN2A
191,PIK3CA
192,DCTN2
193,S100A4
194,TGFB1I1
195,ANK1
196,RUVBL1
197,GNG2
198,ZNF395
199,PTPN1
200,TXNL4B
201,RNF152
202,YTHDF1
203,CHEK2
204,AGPAT2
205,WEE1
206,COLEC12
207,DYNC2LI1
208,SCD
209,ALDH7A1
210,MBNL1
211,ATRN
212,C2CD5
213,INSIG1
214,HEATR6
215,TRUB1
216,ZNF318
217,CCNA2
218,BRIP1
219,SLC38A7
220,MEF2C
221,IGF2R
222,EZH2
223,POLE2
224,SQSTM1
225,TTC32
226,FGF18
227,NDUFB1
228,ZDHHC19
229,BLVRA
230,BRAF
231,CCDC146
232,NIPSNAP1
233,YPEL2
234,POLR1C
235,CLEC16A
236,NCAM1
237,STARD4
238,BRF2
239,CISD1
240,CCDC112
241,AMIGO1
242,ADH5
243,MFAP2
244,SPG7
245,TCEA2
246,CDKN2AIP
247,YKT6
248,RPS6KB1
249,TGIF1
250,B9D1
251,GSTP1
252,CDH1
253,ORC1
254,AIM2
255,UPP2
256,TP53
257,BIRC5
258,KEAP1
259,MAP4K1
260,SCYL3
261,ERBB3
262,EML3
263,CORIN
264,ABHD6
265,GPATCH8
266,MAP2
267,PRKCB
268,PLA2R1
269,SEMA4A
270,TONSL
271,CSRP1
272,KANK1
273,CENPE
274,PROM2
275,HDAC5
276,AHDC1
277,STX3
278,IFI27L2
279,PDS5A
280,CPNE3
281,TFDP1
282,CDK13
283,FNBP1
284,DNAI2
285,ENO2
286,PAFAH1B1
287,NUDT5
288,STEAP3
289,USP15
290,PAICS
291,CD82
292,IFT122
293,LAMP3
