,Symbol
0,RRM1
1,PLEKHJ1
2,AASDH
3,FKBP4
4,KDM5A
5,HSPA2
6,SKIC8
7,ASB8
8,BID
9,TPRA1
10,CNPY3
11,PSMG1
12,CLEC1A
13,ESYT2
14,MFSD11
15,POLR2G
16,XKR6
17,ALDOB
18,HRG
19,GPX6
20,NDUFA2
21,TUBA1C
22,MAPK9
23,KCNK1
24,KRTAP1-5
25,EGR1
26,KLHL9
27,USP38
28,PRKAG2
29,SHD
30,PIP4K2B
31,TSGA10
32,RTF1
33,PDX1
34,RAB19
35,ZNF276
36,PLEKHA6
37,NFATC2
38,CCDC136
39,SRC
40,ANKRD28
41,ADRB2
42,EIF5
43,SETX
44,IQSEC3
45,DMBT1
46,CDC42BPB
47,SRA1
48,RAB31
49,MLLT11
50,GTF2B
51,FAM219A
52,MVP
53,PSG4
54,ZNF600
55,EYS
56,ARNT2
57,FGFBP1
58,STX1A
59,PREB
60,LRIG3
61,SNAPC4
62,RAB21
63,CDIP1
64,BAMBI
65,LGALS8
66,TES
67,SNAPIN
68,BAX
69,WFDC10B
70,GLRX5
71,SCGB1D2
72,NT5DC2
73,MRPS2
74,AURKAIP1
75,ANXA7
76,CCNE1
77,OR4K13
78,FAS
79,LRRC41
80,VAV3
81,STAMBP
82,PAK2
83,TMCC3
84,MRTFA
85,MTF2
86,CCND1
87,SART1
88,ARPP19
89,EXTL2
90,DYRK3
91,PIK3CD
92,ZEB1
93,SENP6
94,CSNK2A2
95,SETD1A
96,HUNK
97,USP32
98,NR1H2
99,KNDC1
100,SLC16A14
101,PIK3CB
102,SCARB1
103,B4GALT1
104,MARK4
105,RPA3
106,MYCBP
107,LRP12
108,KIF9
109,KRT3
110,TATDN2
111,ZNF862
112,IER3
113,PYCR1
114,NDUFAB1
115,PIK3R5
116,PTN
117,SMO
118,ANAPC10
119,HEBP1
120,CCL2
121,ZNF586
122,KLF6
123,RNF11
124,OVOL1
125,DPP8
126,TSPAN3
127,MNX1
128,SPTLC2
129,NPEPL1
130,CHUK
131,NTRK3
132,CACNA1E
133,TBC1D9B
134,MCOLN1
135,PSMD4
136,STAR
137,PYGL
138,KNTC1
139,ATP7B
140,SLC25A18
141,FGFR2
142,PIGB
143,CIRBP
144,CDR2L
145,NR2C2AP
146,SLC25A4
147,FCGR2A
148,STPG1
149,UBE2L6
150,SPRYD7
151,TDRD7
152,RNF167
153,QRICH1
154,COPZ1
155,TIMM22
156,NRAS
157,PMP2
158,CLN5
159,MAN2C1
160,TGFBR1
161,PPP2R3C
162,PPIC
163,SLFN13
164,SPR
165,KIF21A
166,IGFL3
167,BCL7B
168,RAF1
169,PDE10A
170,TNKS2
171,SKP1
172,PRKACA
173,IL12B
174,CES4A
175,MAPK1
176,PPT1
177,ARHGEF40
178,ZDHHC6
179,BPIFB1
180,CAPZB
181,TMEM170B
182,MALT1
183,SPATA31D1
184,TNFRSF13B
185,RAB4A
186,TPGS2
187,TBXA2R
188,RAD51D
189,MAP3K4
190,ZNF202
191,ATP6V1B2
192,IL20RA
193,ATG12
194,VCL
195,CD63
196,MRPS26
197,MBTPS1
198,PEX13
199,HES1
200,NSMCE1
201,CCL21
202,INTS3
203,MBNL2
204,AEBP1
205,CYP2W1
206,ARIH2
207,DENND2D
208,CRLS1
209,RRP9
210,VPS35
211,BAD
212,EGFR
213,ADI1
214,DESI1
215,SUPT20H
216,AXL
217,CLK4
218,GUCA2B
219,ZNF451
220,IARS1
221,UBE3B
222,PTPRK
223,KDM3A
224,PCBP2
225,MAPKAPK2
226,KRTAP22-1
227,CDKN2A
228,PIK3CA
229,DCTN2
230,S100A4
231,TGFB1I1
232,ANK1
233,RUVBL1
234,GNG2
235,NR1H4
236,ZNF395
237,PTPN1
238,TXNL4B
239,RNF152
240,YTHDF1
241,CHEK2
242,AGPAT2
243,WEE1
244,COLEC12
245,DYNC2LI1
246,SCD
247,ALDH7A1
248,PCDHB12
249,MBNL1
250,CCNF
251,ATRN
252,C2CD5
253,OR1G1
254,INSIG1
255,HEATR6
256,TRUB1
257,ZNF318
258,CCNA2
259,BRIP1
260,BRDT
261,SLC38A7
262,MEF2C
263,IGF2R
264,EZH2
265,POLE2
266,SQSTM1
267,TMC3
268,TTC32
269,FGF18
270,OR2A12
271,NDUFB1
272,ZDHHC19
273,BLVRA
274,BRAF
275,BPIFA1
276,CCDC146
277,NIPSNAP1
278,YPEL2
279,POLR1C
280,CLEC16A
281,NCAM1
282,STARD4
283,BRF2
284,CISD1
285,CCDC112
286,AMIGO1
287,ADH5
288,MFAP2
289,SPG7
290,TCEA2
291,CDKN2AIP
